l s x y 
14  1  -90.93590100  611.27298480
14  1  -99.13417160  609.99706230
14  1 -107.31457380  608.61119140
14 -1 -105.26071740  608.96977050
14 -1  -97.07568630  610.32803570
14 -1  -88.87315780  611.57629270
14 -1  -80.65461050  612.71431660
14 -1  -72.42152560  613.74190230
14 -1  -64.17538710  614.65886450
14 -1  -55.91768150  615.46503790
14 -1  -47.64989690  616.16027730
14 -1  -39.37352380  616.74445730
14 -1  -31.09005380  617.21747270
14 -1  -22.80097990  617.57923810
14 -1  -14.50779640  617.82968840
14 -1   -6.21199790  617.96877840
14 -1    2.08492030  617.99648310
14 -1   10.38146270  617.91279740
14 -1   18.67613390  617.71773650
14 -1   26.96743880  617.41133550
14 -1   35.25388300  616.99364970
14 -1   43.53397290  616.46475420
14 -1   51.80621600  615.82474450
14 -1   60.06912140  615.07373600
14 -1   68.32119960  614.21186380
15  1   67.10625840  622.39276190
15  1   58.74445940  623.23758590
15  1   50.37207200  623.97007490
15  1   41.99060540  624.59009680
15  1   33.60157020  625.09754000
15  1   25.20647850  625.49231290
15  1   16.80684350  625.77434430
15  1    8.40417920  625.94358350
15  1    0.00000000  626.00000000
15  1   -8.40417920  625.94358350
15  1  -16.80684350  625.77434430
15  1  -25.20647850  625.49231290
15  1  -33.60157020  625.09754000
15  1  -41.99060540  624.59009680
15  1  -50.37207200  623.97007490
15  1  -58.74445940  623.23758590
15  1  -67.10625840  622.39276190
15  1  -75.45596180  621.43575520
15  1  -83.79206480  620.36673820
15  1  -92.11306470  619.18590370
15  1 -100.41746180  617.89346440
15  1 -108.70375920  616.48965340
15 -1 -106.55008160  616.86552840
15 -1  -98.25893210  618.24039200
15 -1  -89.95007200  619.50382130
15 -1  -81.62499890  620.65558850
15 -1  -73.28521330  621.69548620
15 -1  -64.93221850  622.62332670
15 -1  -56.56752010  623.43894300
15 -1  -48.19262570  624.14218800
15 -1  -39.80904480  624.73293490
15 -1  -31.41828860  625.21107730
15 -1  -23.02186940  625.57652890
15 -1  -14.62130060  625.82922400
15 -1   -6.21809650  625.96911690
15 -1    2.18622840  625.99618240
15 -1   10.59015930  625.91041570
15 -1   18.99218140  625.71183230
15 -1   27.39078020  625.40046780
15 -1   35.78444200  624.97637850
15 -1   44.17165380  624.43964080
15 -1   52.55090400  623.79035140
15 -1   60.92068220  623.02862730
15 -1   69.27947970  622.15460590
16  1  110.09294460  624.36811540
16  1  101.91078660  625.75569640
16  1   93.71116670  627.03605740
16  1   85.49548980  628.20897890
16  1   77.26516370  629.27426010
16  1   69.02159870  630.23171840
16  1   60.76620710  631.08118980
16  1   52.50040360  631.82252860
16  1   44.22560440  632.45560790
16  1   35.94322730  632.98031910
16  1   27.65469160  633.39657250
16  1   19.36141740  633.70429660
16  1   11.06482570  633.90343870
16  1    2.76633810  633.99396480
16  1   -5.53262350  633.97585920
16  1  -13.83063710  633.84912520
16  1  -22.12628090  633.61378430
16  1  -30.41813350  633.26987700
16  1  -38.70477410  632.81746220
16  1  -46.98478280  632.25661740
16  1  -55.25674090  631.58743860
16  1  -63.51923110  630.81004060
16 -1  -71.23807170  629.98502930
16 -1  -62.98571930  630.86353450
16 -1  -54.72257470  631.63394450
16 -1  -46.45005360  632.29612720
16 -1  -38.16957350  632.84996930
16 -1  -29.88255330  633.29537580
16 -1  -21.59041280  633.63227040
16 -1  -13.29457290  633.86059530
16 -1   -4.99645510  633.98031160
16 -1    3.30251880  633.99139850
16 -1   11.60092690  633.89385430
16 -1   19.89734720  633.68769560
16 -1   28.19035820  633.37295780
16 -1   36.47853890  632.94969480
16 -1   44.76046920  632.41797920
16 -1   53.03473010  631.77790200
16 -1   61.29990370  631.02957280
16 -1   69.55457390  630.17312010
16 -1   77.79732630  629.20869040
16 -1   86.02674850  628.13644900
16 -1   94.24143040  626.95657970
16 -1  102.43996460  625.66928460
17  1  111.48213010  632.24657740
17  1  103.19672710  633.65166730
17  1   94.89364190  634.94818430
17  1   86.57429720  636.13590610
17  1   78.24011850  637.21462940
17  1   69.89253370  638.18416910
17  1   61.53297310  639.04435940
17  1   53.16286920  639.79505260
17  1   44.78365610  640.43612030
17  1   36.39676960  640.96745250
17  1   28.00364670  641.38895830
17  1   19.60572550  641.70056530
17  1   11.20444490  641.90222030
17  1    2.80124460  641.99388860
17  1   -5.60243580  641.97555460
17  1  -14.00515620  641.84722140
17  1  -22.40547690  641.60891090
17  1  -30.80195850  641.26066410
17  1  -39.19316240  640.80254060
17  1  -47.57765070  640.23461880
17  1  -55.95398680  639.55699620
17  1  -64.32073560  638.76978870
17 -1  -72.21027160  637.92607460
17 -1  -63.85389090  638.81662520
17 -1  -55.48656910  639.59771780
17 -1  -47.10974000  640.26921870
17 -1  -38.72483880  640.83101270
17 -1  -30.33330240  641.28300360
17 -1  -21.93656850  641.62511400
17 -1  -13.53607590  641.85728530
17 -1   -5.13326400  641.97947760
17 -1    3.27042750  641.99167000
17 -1   11.67355870  641.89386040
17 -1   20.07468960  641.68606560
17 -1   28.47238080  641.36832130
17 -1   36.86519350  640.94068170
17 -1   45.25168950  640.40322030
17 -1   53.63043180  639.75602910
17 -1   61.99998480  638.99921900
17 -1   70.35891450  638.13291970
17 -1   78.70578850  637.15727950
17 -1   87.03917670  636.07246580
17 -1   95.35765120  634.87866430
17 -1  103.65978660  633.57607960
