l1/I l2/I w1/I w2/I z x
7 8 9 3 -685.110666 -17.411381
7 8 9 4 -558.300414 -25.798264
7 8 9 5 -431.681908 -34.172465
7 8 9 6 -305.211352 -42.536881
7 8 9 7 -178.845502 -50.894373
7 8 9 8 -52.540944 -59.247810
7 8 9 9 73.744949 -67.600014
7 8 10 0 -1195.194554 -0.563623
7 8 10 1 -1067.165390 -9.005101
7 8 10 2 -939.505446 -17.422234
7 8 10 3 -812.170112 -25.817965
7 8 10 4 -685.113920 -34.195290
7 8 10 5 -558.293459 -42.557073
7 8 10 6 -431.664615 -50.906222
7 8 10 7 -305.183940 -59.245601
7 8 10 8 -178.807777 -67.578090
7 8 10 9 -52.493520 -75.906497
8 9 0 0 116.328192 85.645415
8 9 0 1 -10.449751 77.312047
8 9 0 2 -137.231730 68.978413
8 9 0 3 -264.058918 60.641808
8 9 0 4 -390.972514 52.299522
8 9 0 5 -518.013860 43.948840
8 9 0 6 -645.224453 35.587032
8 9 0 7 -772.646006 27.211358
8 9 0 8 -900.320507 18.819057
8 9 0 9 -1028.290288 10.407347
8 9 0 10 -1156.598073 1.973419
8 9 0 11 -1285.286992 -6.485562
8 9 1 0 243.080204 77.367317
8 9 1 1 116.273918 69.008152
8 9 1 2 -10.495160 60.651439
8 9 1 3 -137.268186 52.294465
8 9 1 4 -264.086288 43.934521
8 9 1 5 -390.990682 35.568888
8 9 1 6 -518.022687 27.194842
8 9 1 7 -645.223784 18.809650
8 9 1 8 -772.635672 10.410563
8 9 1 9 -900.300338 1.994812
8 9 1 10 -1028.260103 -6.440392
8 9 1 11 -1156.557637 -14.897862
8 9 2 0 369.915207 69.083799
8 9 2 1 243.036975 60.701675
8 9 2 2 116.237248 52.324738
8 9 2 3 -10.525171 43.950265
8 9 2 4 -137.291395 35.575540
8 9 2 5 -264.102575 27.197846
8 9 2 6 -390.999903 18.814461
8 9 2 7 -518.024689 10.422655
8 9 2 8 -645.218401 2.019689
8 9 2 9 -772.622740 -6.397192
8 9 2 10 -900.279683 -14.830761
8 9 2 11 -1028.231505 -23.283811
8 9 3 0 496.877007 60.792000
8 9 3 1 369.883129 52.389754
